Ano,Mês,Linhagem,Número Amostral,Idade,peso
2006,dezembro,Lit/scid,144,45 a 90 dias,
2007,março,Balb/c nude,180,10 semanas,
2007,agosto,Swiss,75,4-5 semanas,
2007,agosto,Balb/c nude,30,4-5 semanas,
2007,outubro,C57BL-6,100,6-10 semanas,
2007,outubro,Swiss,96,2 meses,
2007,outubro,Balb/c nude,96,2 meses,
2008,setembro,Swiss,95,,20 a 24 g
2006,abril,Swiss,66,,20-25g
2006,abril,Balb/c nude,66,,15-20
2007,abril,Swiss,30,,20-25
2007,abril,Balb/c nude,30,,15-20
2008,abril,Swiss,52,60 dias,
2008,dezembro,Balb/c nude,52,60 dias,
2009,julho,Balb/c,420,,20-30
2009,agosto,Swiss,5,8 semanas,
2009,junho,Balb/c,110,4-5 semanas,20-25
2009,junho,Balb/c nude,100,4-5 semanas,20-25
2009,fevereiro,Balb/c,20,4-8 semanas,
2009,fevereiro,Balb/c nude,51,4-8 semanas,
2009,fevereiro,Swiss,60,4-5 semanas,
2009,fevereiro,Swiss,72,4-5 semanas,
2010,janeiro,Balb/c nude,72,10 semanas,
2010,maio,Balb/c,15,,18-22
2010,junho,C57BL-6,35,,25-30
2010,dezembro,Balb/c,36,8 semanas,
2010,dezembro,Swiss,40,4 meses,
2010,dezembro,Balb/c nude,20,4 meses,
2011,julho,Balb/c,24,10-12 semanas,
2011,maio,Balb/c,70,6 semanas,
2011,junho,Swiss,30,,20-30g
2011,junho,Swiss,48,2 meses,25g
2011,junho,Swiss,12,2-3 semanas,
2011,junho,Balb/c nude,12,2-3 semanas,
2011,fevereiro,Balb/c,24,10-12 semanas,
2011,março,Balb/c,60,,20-30g
2011,abril,Balb/c,60,,18-22
2011,novembro,Swiss,24,,20-25
2011,novembro,Balb/c nude,24,,15-20
2011,julho,Balb/c,36,20 dias,
2012,agosto,Balb/c,30,10-12 semanas,
2012,julho,Swiss,30,45 dias,30g
2012,janeiro,Swiss,60,12 a 24 semanas ,
2012,janeiro,Balb/c nude,36,12-24 semanas ,
2012,fevereiro,Balb/c,42,,20-25g
2012,abril,Swiss,50,12-24 semanas,
2012,março,Swiss,48,45 dias,30g
2012,março,Swiss,120,12-24 semanas,
2012,março,Balb/c nude,72,12-24 semanas,
2012,janeiro,Balb/c,91,12-24 semanas,
2012,janeiro,Balb/c nude,162,12-24 semanas,
2013,setembro,Balb/c,12,4-8 semanas,
2013,setembro,Balb/c nude,50,4-8 semanas,
2013,novembro,Balb/c,32,42 dias,
2013,abril,Balb/c,52,12-24 semanas,
2013,abril,Balb/c nude,54,12-24 semanas,
2013,abril,Balb/c nude,60,,20-25
2013,março,Swiss,100,60 dias,
2013,abril,Balb/c nude,17,4-8 semanas,
2013,abril,Balb/c,45,4-8 semanas,
2013,novembro,Balb/c,18,4-10 semanas,
2013,novembro,Swiss,17,4-10 semanas,
2013,novembro,Balb/c nude,54,4-8 semanas,
2013,dezembro,Swiss,78,4-7 semanas,
2014,maio,Swiss,60,,20-25g
2014,julho,C57BL-6,60,15 dias,
2014,março,Balb/c nude,210,8-12 semanas,
2014,julho,Lit/scid,64,40-60 dias,
2014,julho,lit/lit,64,40-60 dias,
2014,março,Balb/c nude,80,6 semanas,
2014,outubro,Balb/c nude,50,,
2014,janeiro,Swiss,82,4-10 semanas,
2014,janeiro,Swiss,82,4-10 semanas,
2014,maio,Balb/c nude,36,,20-25g
2014,maio,Balb/c,24,,20-25g
2015,julho,Swiss,84,60 dias,
2015,setembro,lit/lit,60,40 a 60 dias,
2015,setembro,Lit/scid,60,40 a 60 dias,
2015,setembro,C57BL-6,5,40 a 60 dias,
2015,setembro,scid,5,40 a 60 dias,
2015,agosto,Balb/c,20,8 a 10 semanas,
2015,julho,Balb/c nude,50,6 - 8 semanas,
2015,junho,lit/lit,83,40 a 60 dias,
2015,junho,Lit/scid,83,40 a 60 dias,
2015,junho,scid,10,40 a 60 dias,
2015,junho,C57BL-6,10,40 a 60 dias,
2015,maio,Swiss,4,6 - 9 semanas,
2015,maio,Balb/c,90,7 a 12 semanas,
2015,maio,Balb/c nude,70,7 a 12 semanas,
2015,março,Balb/c nude,210,8 a 12 semanas,
2015,abril,C57BL-6,120,7 a 10 semanas,
2016,abril,Balb/c,60,6-8 semanas,
2016,março,Balb/c,132,12 a 24 semanas ,
2016,março,Balb/c,132,6 a 24 semanas,
2016,novembro,Swiss,60,8 a 12 semanas,
2016,maio,Balb/c,30,8 a 12 semanas,
2016,maio,Balb/c nude,35,8 a 12 semanas,
2016,novembro,Balb/c,44,12 a 24 semanas ,
2016,novembro,Balb/c nude,24,12 a 24 semanas ,
2016,novembro,C57BL-6,100,8 semanas,
2016,outubro,Balb/c,90,,20-25
2016,outubro,scid,30,,20-25
2017,junho,Balb/c,60,8 a 12 semanas,
2017,junho,Balb/c nude,60,8 a 12 semanas,
2017,março,Balb/c,20,12 a 24 semanas ,
2017,março,scid,20,12 a 24 semanas ,
2017,maio,Swiss,15,12 a 24 semanas ,
2017,novembro,scid,12,12 a 24 semanas ,
2017,novembro,Swiss,12,90 dias,
2017,maio,Balb/c,70,6 semanas,
2017,maio,Balb/c,85,8 semanas,
2017,abril,C57BL-6,40,40 a 60 dias,
2017,janeiro,Lit/scid,75,40 dias,
2017,fevereiro,Balb/c,136,8 semanas,
2017,janeiro,Balb/c nude,300,8 a 10 semanas,
2017,janeiro,Swiss,120,8 a 12 semanas,
2017,dezembro,scid,140,7 a 9 semanas,
2017,dezembro,Balb/c,72,8 a 12 semanas,
2017,janeiro,Balb/c,60,8 a 12 semanas,
2017,outubro,scid,24,4 semanas,
2017,agosto,Balb/c,60,8 a 12 semanas,
2017,agosto,scid,60,8 a 12 semanas,
2017,julho,C57BL-6,30,6 a 8 semanas,
2018,fevereiro,C57BL-6,60,6 semanas,
2018,janeiro,C57BL-6,10,4 semanas,
2018,fevereiro,Balb/c,240,6 semanas,
2018,fevereiro,C57BL-6,65,6 semanas,
2018,junho,Balb/c,40,6 semanas,
2018,dezembro,Balb/c nude,63,6 semanas,
2020,outubro,Balb/c nude,62,6 semanas,
2018,novembro,Balb/c,20,5 semanas,
2018,novembro,Balb/c nude,64,5 semanas,
2018,outubro,C57BL-6,60,6 semanas,
2018,outubro,C57BL-6,60,6 semanas,
2018,fevereiro,Balb/c nude,9,6 semanas,
2018,janeiro,Balb/c nude,65,8 semanas,
2019,janeiro,Swiss,80,,20g
2019,janeiro,C57BL-6,6,6-8 semanas,
2019,julho,Balb/c,24,6 - 9 semanas,
2019,julho,Balb/c nude,24,6 - 9 semanas,
2019,junho,Balb/c,72,8 semanas,
2019,junho,Balb/c nude,154,8 semanas,
2019,maio,Balb/c,44,,18 - 22
2019,março,C57BL-6,166,21 dias ,20
2019,março,Balb/c,22,8 semanas,
2019,março,scid,22,8 semanas,
2019,março,Balb/c,168,6 semanas,
2019,setembro,C57BL-6,140,6 - 8 semanas,
2019,agosto,C57BL-6,40,8-12 semanas,
2019,outubro,C57BL-6,32,8-10 semanas,
2019,outubro,C57BL-6,32,8-10 semanas,
2020,novembro,C57BL-6,140,6 semanas,
2020,outubro,Balb/c nude,30,8 a  12 semanas,
2020,outubro,C57BL-6,140,6 a 8 semanas,
2020,outubro,Balb/c nude,103,8 semanas,25g
2020,outubro,Balb/c nude,103,8 semanas,
2020,março,Balb/c,256,6 semanas,
2020,fevereiro,Balb/c nude,27,8 semanas,
2020,agosto,Balb/c nude,27,8 semanas,
2021,fevereiro,Balb/c nude,27,8 semanas,
2020,fevereiro,Balb/c nude,27,8 semanas,
2020,agosto,Balb/c nude,27,8 semanas,
2020,outubro,Balb/c nude,27,8 semanas,
2020,janeiro,Balb/c nude,27,8 semanas,
2020,fevereiro,Balb/c nude,27,8 semanas,
2020,agosto,Balb/c nude,27,8 semanas,
2021,outubro,Balb/c nude,27,8 semanas,
2021,janeiro,C57BL-6,80,6 a 8 semanas,
2021,abril,Balb/c,48,6 a 8 semanas,
2021,janeiro,Balb/c,162,6 a 8 semanas,
2021,janeiro,Balb/c,100,2 meses,
2021,janeiro,Swiss,100,2 meses,
2021,novembro,Swiss,338,6 semanas,
2021,maio,Balb/c nude,60,10 a 12 semanas,
2021,maio,Balb/c nude,35,6 a 10 semanas,
2021,julho,C57BL-6,30,6 semanas,
2021,julho,C57BL-6,30,,25g
2021,julho,Balb/c nude,60,10 a 12 semanas,
2021,julho,Balb/c nude,66,10 a 12 semanas,
2021,outubro,Balb/c,36,,25 a 30
2021,julho,C57BL-6,36,,25 a 30
2021,maio,Balb/c,56,12 a 24 semanas ,
2021,maio,scid,36,12 a 24 semanas ,
2021,julho,C57BL-6,30,6 semanas,
2021,outubro,Balb/c,60,5 a 6 semanas,
2021,outubro,Balb/c,60,2 a 8 semanas,
2021,outubro,Balb/c nude,120,2 a 8 semanas,
2021,dezembro,Balb/c nude,60,10 a 12 semanas,
2021,dezembro,Balb/c nude,60,10 a 12 semanas,
2022,junho,Balb/c nude,60,10 a 12 semanas,
2021,dezembro,Balb/c nude,80,10 a 12 semanas,
2021,dezembro,Balb/c nude,80,10 a 12 semanas,
2021,dezembro,Balb/c nude,90,10 a 12 semanas,
2021,dezembro,Balb/c nude,80,10 a 12 semanas,
2021,novembro,Balb/c nude,120,6 a 7 semanas,
2021,outubro,C57BL-6,16,30 dias,
2021,outubro,lit/lit,64,30 dias,
2021,dezembro,C57BL-6,10,5-8 semanas,
2021,outubro,Balb/c nude,48,8 a 12 semanas,
2021,outubro,Balb/c,60,8 a 12 semanas,
2021,outubro,Balb/c nude,36,8 a 12 semanas,
2021,outubro,Balb/c,60,8 a 12 semanas,
2022,agosto,Balb/c nude,50,10-12 semanas,25
2022,agosto,Balb/c,40,10-12 semanas,25
2022,agosto,Balb/c nude,50,10-12 semanas,25
2022,agosto,C57BL-6,35,6 semanas,
2022,agosto,C57BL-6,35,6 semanas,
2022,agosto,C57BL-6,35,6 semanas,
2022,abril,C57BL-6,24,8 semanas,
2022,abril,lit/lit,40,30 dias,
2022,fevereiro,Balb/c nude,168,8 semanas,
2022,fevereiro,C57BL-6,21,8 semanas,
2022,fevereiro,Balb/c nude,70,10-12 semanas,
2022,dezembro,Balb/c,30,12 a 24 semanas ,
2022,dezembro,scid,40,12 a 24 semanas ,
2022,novembro,Balb/c,50,8 a 12 semanas,
2022,dezembro,scid,60,10 a 12 semanas,
2023,abril,Balb/c,36,8 semanas,
2022,outubro,C57BL-6,98,10 - 12 semanas,
2022,setembro,Balb/c,36,7 semanas,
2022,setembro,Balb/c,42,6-8 semanas,
2022,setembro,Balb/c nude,108,6-8 semanas,
2022,agosto,Balb/c,72,6-8 semanas,
2022,agosto,Balb/c nude,45,10-12 semanas,
2023,março,Balb/c nude,50,10 a 12 semanas,
2023,março,Balb/c nude,50,10 a 12 semanas,
2023,março,Balb/c nude,50,10 a 12 semanas,
2023,outubro,Balb/c,40,5 semanas,
2023,outubro,scid,74,5 semanas,
2023,novembro,Balb/c,135,,10-12 g
2023,setembro,Balb/c nude,80,12 semanas,
2023,junho,Balb/c nude,30,6-8 semanas,
2024,julho,C57BL-6,50,8 semanas,
2023,março,Balb/c nude,36,3 a 8 semanas,8 a 26g
2023,março,Balb/c nude,50,10 a 12 semanas,
2024,dezembro,C57BL-6,90,8 semanas,
2024,dezembro,C57BL-6,30,8 semanas,
2024,dezembro,Balb/c nude,30,10-12 semanas,
2024,dezembro,Balb/c nude,30,10-12 semanas,
2024,setembro,Balb/c,36,4-6 semanas,
2024,setembro,Balb/c nude,40,6 semanas,
2024,setembro,Balb/c nude,90,6 a 7 semanas,
2024,agosto,Balb/c nude,40,6 a 8 semanas,
2024,julho,Balb/c nude,106,10 semanas,
2024,junho,Balb/c,108,8 a 12 semanas,
2024,setembro,Balb/c,60,20 semanas,
2024,maio,C57BL-6,30,10 semanas,
2024,junho,Balb/c nude,140,10 a 12 semanas,
2024,maio,C57BL-6,60,10 semanas,
2024,maio,Balb/c nude,100,10 a 12 semanas,
2024,abril,lit/lit,90,30 a 60 dias,
2024,março,Balb/c,90,7 semanas,
2024,março,Balb/c,40,5 semanas,
2024,março,scid,28,5 semanas,
2024,janeiro,Balb/c nude,84,6 - 8 semanas,
